Activity,Category,Flag,Reason
Question 2 - Intensity vs recorded current,High,"Engagement risk (too slow, question)","Engagement risk: High group's Avg Time (30.0s) is above mean+std (22.2s ± 7.2s, CV=0.32). Significantly slower than the other groups — possible confusion or disengagement."
Question 2 - Intensity vs recorded current,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (12.7s) is below mean-std (22.2s ± 7.2s, CV=0.32). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Question 1 - Classical theory & experimental findings,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (91.3%) exceeds mean+std threshold (89.07%) with a category spread of 67.5pp. This group is struggling significantly more than the others on this activity.
Question 2: Classical theory & experimental findings,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (87.0%) exceeds mean+std threshold (86.61%) with a category spread of 38.2pp. This group is struggling significantly more than the others on this activity.
Question 3: Classical theory & experimental findings,High,"Engagement risk (too fast, question)","Engagement risk: High group's Avg Time (23.7s) is below mean-std (43.4s ± 14.7s, CV=0.34). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Question 3: Classical theory & experimental findings,Moderate,"Engagement risk (too slow, question)","Engagement risk: Moderate group's Avg Time (58.9s) is above mean+std (43.4s ± 14.7s, CV=0.34). Significantly slower than the other groups — possible confusion or disengagement."
Question 3: Classical theory & experimental findings,All,Systemic failure,"All performance categories individually exceed the PISA Low-performance boundary (50.3% wrong): High 58.3%, Moderate 81.6%, Low 81.8% wrong. All groups score below the Low-performance threshold on this activity, indicating a content-level failure independent of learner category — review the question wording, answer options, or prerequisite content."
Question 1 on the photoelectric effect,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (91.7%) exceeds mean+std threshold (80.88%) with a category spread of 81.0pp. This group is struggling significantly more than the others on this activity.
Question 2 on the photoelectric effect,High,"Engagement risk (too slow, question)","Engagement risk: High group's Avg Time (38.3s) is above mean+std (28.4s ± 9.5s, CV=0.33). Significantly slower than the other groups — possible confusion or disengagement."
Question 2 on the photoelectric effect,Low,"Engagement risk (too fast, question)","Engagement risk: Low group's Avg Time (15.6s) is below mean-std (28.4s ± 9.5s, CV=0.33). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Q1 - maximum kinetic energy & cutoff voltage,Moderate,"Engagement risk (too fast, question)","Engagement risk: Moderate group's Avg Time (34.3s) is below mean-std (57.3s ± 17.2s, CV=0.30). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Q1 - maximum kinetic energy & cutoff voltage,Low,"Engagement risk (too slow, question)","Engagement risk: Low group's Avg Time (75.6s) is above mean+std (57.3s ± 17.2s, CV=0.30). Significantly slower than the other groups — possible confusion or disengagement."
Q2 - Maximum kinetic energy – cutoff voltage​,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (92.9%) exceeds mean+std threshold (90.10%) with a category spread of 85.0pp. This group is struggling significantly more than the others on this activity.
Applications of the photoelectric effect,High,"Engagement risk (too slow, question)","Engagement risk: High group's Avg Time (115.1s) is above mean+std (73.0s ± 30.3s, CV=0.41). Significantly slower than the other groups — possible confusion or disengagement."
Applications of the photoelectric effect,Low,Dynamic correctness threshold,Dynamic correctness: Low group's %Wrong (94.6%) exceeds mean+std threshold (82.64%) with a category spread of 81.4pp. This group is struggling significantly more than the others on this activity.
Explanations on Planck hypothesis,High,"Engagement risk (too slow, non-question)","Engagement risk: High group's Avg Time (75.4s) is above mean+std (45.9s ± 20.9s, CV=0.46). Significantly slower than the other groups — possible confusion or disengagement."
Mental experiment,Low,"Engagement risk (too fast, non-question)","Engagement risk: Low group's Avg Time (7.3s) is below mean-std (16.5s ± 6.5s, CV=0.40). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Experiment 1 - Kinetic energy vs light frequency,Moderate,"Engagement risk (too fast, non-question)","Engagement risk: Moderate group's Avg Time (182.7s) is below mean-std (290.1s ± 76.8s, CV=0.26). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Quick demonstration of Experiment 1,Moderate,"Engagement risk (too slow, non-question)","Engagement risk: Moderate group's Avg Time (45.2s) is above mean+std (31.4s ± 13.6s, CV=0.43). Significantly slower than the other groups — possible confusion or disengagement."
Quick demonstration of Experiment 1,Low,"Engagement risk (too fast, non-question)","Engagement risk: Low group's Avg Time (12.9s) is below mean-std (31.4s ± 13.6s, CV=0.43). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Experiment 2 - Intensity vs recorded current,High,"Engagement risk (too slow, non-question)","Engagement risk: High group's Avg Time (200.3s) is above mean+std (132.5s ± 48.2s, CV=0.36). Significantly slower than the other groups — possible confusion or disengagement."
Experiment 3 - Voltage,Moderate,"Engagement risk (too fast, non-question)","Engagement risk: Moderate group's Avg Time (130.5s) is below mean-std (264.1s ± 133.6s, CV=0.51). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Classical theory: Intensity & kinetic energy,High,"Engagement risk (too fast, non-question)","Engagement risk: High group's Avg Time (24.7s) is below mean-std (39.7s ± 11.4s, CV=0.29). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Classical theory: Intensity & kinetic energy,Low,"Engagement risk (too slow, non-question)","Engagement risk: Low group's Avg Time (52.3s) is above mean+std (39.7s ± 11.4s, CV=0.29). Significantly slower than the other groups — possible confusion or disengagement."
Classical theory: Frequency and current,High,"Engagement risk (too fast, non-question)","Engagement risk: High group's Avg Time (16.5s) is below mean-std (26.2s ± 8.0s, CV=0.31). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Classical theory: Frequency and current,Moderate,"Engagement risk (too slow, non-question)","Engagement risk: Moderate group's Avg Time (36.1s) is above mean+std (26.2s ± 8.0s, CV=0.31). Significantly slower than the other groups — possible confusion or disengagement."
Experiment - kinetic energy and frequency,High,"Engagement risk (too fast, non-question)","Engagement risk: High group's Avg Time (30.1s) is below mean-std (70.0s ± 30.8s, CV=0.44). Suspiciously fast relative to other groups — may indicate guessing or skipping."
Experiment - kinetic energy and frequency,Low,"Engagement risk (too slow, non-question)","Engagement risk: Low group's Avg Time (105.0s) is above mean+std (70.0s ± 30.8s, CV=0.44). Significantly slower than the other groups — possible confusion or disengagement."
Additional explanations on classical theory and experimental findings,Low,"Engagement risk (too fast, non-question)","Engagement risk: Low group's Avg Time (9.5s) is below mean-std (23.6s ± 10.2s, CV=0.43). Suspiciously fast relative to other groups — may indicate guessing or skipping."
