Activity,% Wrong,Timing
Δραστηριότητα 1,100.0,25
Δραστηριότητα 1,100.0,92
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,0.0,69
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,100
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,100.0,165
Δραστηριότητα 1,0.0,32
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,100.0,99
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,88
Δραστηριότητα 1,100.0,74
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,130
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,36
Δραστηριότητα 1,0.0,6
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,72
Δραστηριότητα 1,0.0,34
Δραστηριότητα 1,100.0,99
Δραστηριότητα 1,0.0,77
Δραστηριότητα 1,0.0,13
Δραστηριότητα 1,100.0,57
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,100.0,41
Δραστηριότητα 1,0.0,28
Δραστηριότητα 1,0.0,8
Δραστηριότητα 1,0.0,38
Δραστηριότητα 1,0.0,12
Δραστηριότητα 1,0.0,77
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,100.0,250
Δραστηριότητα 1,100.0,23
Δραστηριότητα 1,100.0,10
Δραστηριότητα 1,0.0,28
Δραστηριότητα 1,0.0,40
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,0.0,8
Δραστηριότητα 1,100.0,17
Δραστηριότητα 1,0.0,14
Δραστηριότητα 1,100.0,160
Δραστηριότητα 1,0.0,53
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,17
Δραστηριότητα 1,0.0,137
Δραστηριότητα 1,100.0,96
Δραστηριότητα 1,100.0,62
Δραστηριότητα 1,0.0,46
Δραστηριότητα 1,100.0,10
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,92
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,0.0,7
Δραστηριότητα 1,0.0,52
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,8
Δραστηριότητα 1,100.0,282
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,0.0,46
Δραστηριότητα 1,100.0,36
Δραστηριότητα 1,100.0,17
Δραστηριότητα 1,0.0,42
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,0.0,8
Δραστηριότητα 1,0.0,16
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,100.0,25
Δραστηριότητα 1,100.0,4
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,100.0,105
Δραστηριότητα 1,100.0,29
Δραστηριότητα 1,100.0,109
Δραστηριότητα 1,100.0,56
Δραστηριότητα 1,100.0,81
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,79
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,0.0,36
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,100.0,14
Δραστηριότητα 1,0.0,54
Δραστηριότητα 1,0.0,51
Δραστηριότητα 1,100.0,99
Δραστηριότητα 1,100.0,30
Δραστηριότητα 1,100.0,50
Δραστηριότητα 1,100.0,196
Δραστηριότητα 1,100.0,64
Δραστηριότητα 1,100.0,45
Δραστηριότητα 1,0.0,55
Δραστηριότητα 1,0.0,98
Δραστηριότητα 1,100.0,46
Δραστηριότητα 1,100.0,53
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,100.0,67
Δραστηριότητα 1,0.0,88
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,0.0,78
Δραστηριότητα 1,100.0,25
Δραστηριότητα 1,0.0,85
Δραστηριότητα 1,0.0,53
Δραστηριότητα 1,100.0,45
Δραστηριότητα 1,100.0,52
Δραστηριότητα 1,100.0,41
Δραστηριότητα 1,100.0,121
Δραστηριότητα 1,0.0,133
Δραστηριότητα 1,100.0,162
Δραστηριότητα 1,0.0,62
Δραστηριότητα 1,0.0,42
Δραστηριότητα 1,0.0,38
Δραστηριότητα 1,100.0,59
Δραστηριότητα 1,100.0,56
Δραστηριότητα 1,0.0,29
Δραστηριότητα 1,100.0,42
Δραστηριότητα 1,100.0,34
Δραστηριότητα 1,0.0,44
Δραστηριότητα 1,100.0,49
Δραστηριότητα 1,0.0,88
Δραστηριότητα 1,0.0,46
Δραστηριότητα 1,100.0,68
Δραστηριότητα 1,100.0,256
Δραστηριότητα 1,100.0,26
Δραστηριότητα 1,0.0,256
Δραστηριότητα 1,0.0,111
Δραστηριότητα 1,0.0,25
Δραστηριότητα 1,100.0,171
Δραστηριότητα 1,0.0,11
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,100.0,72
Δραστηριότητα 1,100.0,21
Δραστηριότητα 1,0.0,37
Δραστηριότητα 1,0.0,41
Δραστηριότητα 1,100.0,207
Δραστηριότητα 1,100.0,63
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,100.0,78
Δραστηριότητα 1,100.0,18
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,0.0,58
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,0.0,31
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,0.0,123
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,0.0,94
Δραστηριότητα 1,100.0,80
Δραστηριότητα 1,100.0,53
Δραστηριότητα 1,0.0,148
Δραστηριότητα 1,100.0,85
Δραστηριότητα 1,100.0,38
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,0.0,67
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,100.0,76
Δραστηριότητα 1,100.0,53
Δραστηριότητα 1,0.0,61
Δραστηριότητα 1,100.0,78
Δραστηριότητα 1,100.0,77
Δραστηριότητα 1,100.0,10
Δραστηριότητα 1,100.0,51
Δραστηριότητα 1,100.0,115
Δραστηριότητα 1,100.0,97
Δραστηριότητα 1,100.0,94
Δραστηριότητα 1,100.0,106
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,100.0,86
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,0.0,76
Δραστηριότητα 1,100.0,83
Δραστηριότητα 1,100.0,59
Δραστηριότητα 1,100.0,60
Δραστηριότητα 1,100.0,10
Δραστηριότητα 1,100.0,84
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,100.0,10
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,0.0,56
Δραστηριότητα 1,0.0,48
Δραστηριότητα 1,100.0,89
Δραστηριότητα 1,0.0,23
Δραστηριότητα 1,0.0,43
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,0.0,57
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,0.0,14
Δραστηριότητα 1,100.0,35
Δραστηριότητα 1,100.0,31
Δραστηριότητα 1,100.0,43
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,100.0,50
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,100.0,23
Δραστηριότητα 1,100.0,38
Δραστηριότητα 1,100.0,88
Δραστηριότητα 1,0.0,54
Δραστηριότητα 1,100.0,131
Δραστηριότητα 1,100.0,42
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,51
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,0.0,58
Δραστηριότητα 1,0.0,83
Δραστηριότητα 1,0.0,70
Δραστηριότητα 1,100.0,108
Δραστηριότητα 1,0.0,28
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,257
Δραστηριότητα 1,100.0,45
Δραστηριότητα 1,100.0,91
Δραστηριότητα 1,0.0,63
Δραστηριότητα 1,100.0,43
Δραστηριότητα 1,100.0,58
Δραστηριότητα 1,0.0,39
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,0.0,190
Δραστηριότητα 1,100.0,158
Δραστηριότητα 1,100.0,245
Δραστηριότητα 1,0.0,64
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,0.0,23
Δραστηριότητα 1,0.0,28
Δραστηριότητα 1,0.0,36
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,100.0,73
Δραστηριότητα 1,100.0,64
Δραστηριότητα 1,100.0,134
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,100.0,50
Δραστηριότητα 1,0.0,58
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,0.0,52
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,0.0,13
Δραστηριότητα 1,0.0,308
Δραστηριότητα 1,0.0,74
Δραστηριότητα 1,0.0,91
Δραστηριότητα 1,0.0,187
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,38
Δραστηριότητα 1,0.0,18
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,0.0,14
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,0.0,41
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,100.0,106
Δραστηριότητα 1,0.0,26
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,0.0,37
Δραστηριότητα 1,0.0,107
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,0.0,139
Δραστηριότητα 1,100.0,130
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,172
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,0.0,66
Δραστηριότητα 1,100.0,45
Δραστηριότητα 1,100.0,170
Δραστηριότητα 1,100.0,21
Δραστηριότητα 1,100.0,31
Δραστηριότητα 1,0.0,61
Δραστηριότητα 1,100.0,70
Δραστηριότητα 1,0.0,81
Δραστηριότητα 1,100.0,58
Δραστηριότητα 1,100.0,118
Δραστηριότητα 1,0.0,48
Δραστηριότητα 1,0.0,39
Δραστηριότητα 1,100.0,48
Δραστηριότητα 1,0.0,66
Δραστηριότητα 1,100.0,48
Δραστηριότητα 1,100.0,41
Δραστηριότητα 1,0.0,50
Δραστηριότητα 1,0.0,82
Δραστηριότητα 1,0.0,18
Δραστηριότητα 1,100.0,17
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,0.0,104
Δραστηριότητα 1,100.0,149
Δραστηριότητα 1,0.0,72
Δραστηριότητα 1,100.0,20
Δραστηριότητα 1,0.0,71
Δραστηριότητα 1,100.0,19
Δραστηριότητα 1,0.0,116
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,20
Δραστηριότητα 1,0.0,12
Δραστηριότητα 1,0.0,23
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,44
Δραστηριότητα 1,100.0,25
Δραστηριότητα 1,100.0,58
Δραστηριότητα 1,100.0,30
Δραστηριότητα 1,100.0,30
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,0.0,90
Δραστηριότητα 1,0.0,18
Δραστηριότητα 1,100.0,61
Δραστηριότητα 1,0.0,39
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,0.0,6
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,0.0,25
Δραστηριότητα 1,0.0,11
Δραστηριότητα 1,0.0,6
Δραστηριότητα 1,0.0,16
Δραστηριότητα 1,0.0,45
Δραστηριότητα 1,0.0,174
Δραστηριότητα 1,100.0,40
Δραστηριότητα 1,0.0,117
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,100.0,94
Δραστηριότητα 1,100.0,141
Δραστηριότητα 1,100.0,42
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,8
Δραστηριότητα 1,100.0,58
Δραστηριότητα 1,0.0,27
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,100.0,131
Δραστηριότητα 1,100.0,10
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,0.0,17
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,0.0,83
Δραστηριότητα 1,0.0,115
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,100.0,54
Δραστηριότητα 1,100.0,66
Δραστηριότητα 1,0.0,44
Δραστηριότητα 1,0.0,4
Δραστηριότητα 1,0.0,36
Δραστηριότητα 1,100.0,166
Δραστηριότητα 1,0.0,12
Δραστηριότητα 1,0.0,30
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,0.0,105
Δραστηριότητα 1,100.0,17
Δραστηριότητα 1,100.0,102
Δραστηριότητα 1,100.0,24
Δραστηριότητα 1,100.0,44
Δραστηριότητα 1,100.0,43
Δραστηριότητα 1,100.0,53
Δραστηριότητα 1,0.0,74
Δραστηριότητα 1,0.0,83
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,13
Δραστηριότητα 1,100.0,72
Δραστηριότητα 1,0.0,62
Δραστηριότητα 1,100.0,42
Δραστηριότητα 1,100.0,58
Δραστηριότητα 1,100.0,59
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,0.0,99
Δραστηριότητα 1,100.0,21
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,81
Δραστηριότητα 1,100.0,124
Δραστηριότητα 1,100.0,38
Δραστηριότητα 1,0.0,20
Δραστηριότητα 1,0.0,48
Δραστηριότητα 1,100.0,20
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,0.0,51
Δραστηριότητα 1,100.0,19
Δραστηριότητα 1,100.0,34
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,0.0,25
Δραστηριότητα 1,0.0,48
Δραστηριότητα 1,100.0,197
Δραστηριότητα 1,0.0,136
Δραστηριότητα 1,100.0,36
Δραστηριότητα 1,100.0,40
Δραστηριότητα 1,100.0,29
Δραστηριότητα 1,100.0,24
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,20
Δραστηριότητα 1,0.0,15
Δραστηριότητα 1,100.0,73
Δραστηριότητα 1,0.0,329
Δραστηριότητα 1,100.0,63
Δραστηριότητα 1,100.0,14
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,0.0,15
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,57
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,100.0,76
Δραστηριότητα 1,100.0,44
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,44
Δραστηριότητα 1,0.0,74
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,34
Δραστηριότητα 1,0.0,16
Δραστηριότητα 1,100.0,1
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,173
Δραστηριότητα 1,100.0,35
Δραστηριότητα 1,100.0,61
Δραστηριότητα 1,100.0,196
Δραστηριότητα 1,100.0,105
Δραστηριότητα 1,100.0,47
Δραστηριότητα 1,100.0,36
Δραστηριότητα 1,100.0,56
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,0.0,41
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,100.0,44
Δραστηριότητα 1,100.0,24
Δραστηριότητα 1,100.0,354
Δραστηριότητα 1,0.0,26
Δραστηριότητα 1,100.0,49
Δραστηριότητα 1,100.0,12
Δραστηριότητα 1,0.0,45
Δραστηριότητα 1,0.0,45
Δραστηριότητα 1,0.0,112
Δραστηριότητα 1,100.0,23
Δραστηριότητα 1,0.0,9
Δραστηριότητα 1,0.0,13
Δραστηριότητα 1,0.0,48
Δραστηριότητα 1,0.0,25
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,0.0,69
Δραστηριότητα 1,0.0,78
Δραστηριότητα 1,0.0,41
Δραστηριότητα 1,0.0,45
Δραστηριότητα 1,100.0,51
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,100.0,73
Δραστηριότητα 1,100.0,63
Δραστηριότητα 1,100.0,76
Δραστηριότητα 1,100.0,55
Δραστηριότητα 1,0.0,31
Δραστηριότητα 1,100.0,54
Δραστηριότητα 1,0.0,97
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,100.0,160
Δραστηριότητα 1,100.0,103
Δραστηριότητα 1,0.0,24
Δραστηριότητα 1,0.0,33
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,0.0,20
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,49
Δραστηριότητα 1,100.0,19
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,0.0,73
Δραστηριότητα 1,0.0,7
Δραστηριότητα 1,0.0,59
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,0.0,17
Δραστηριότητα 1,0.0,6
Δραστηριότητα 1,100.0,8
Δραστηριότητα 1,0.0,25
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,0.0,36
Δραστηριότητα 1,100.0,25
Δραστηριότητα 1,100.0,52
Δραστηριότητα 1,100.0,49
Δραστηριότητα 1,100.0,105
Δραστηριότητα 1,100.0,23
Δραστηριότητα 1,100.0,39
Δραστηριότητα 1,0.0,29
Δραστηριότητα 1,100.0,26
Δραστηριότητα 1,0.0,27
Δραστηριότητα 1,0.0,38
Δραστηριότητα 1,100.0,18
Δραστηριότητα 1,0.0,72
Δραστηριότητα 1,0.0,11
Δραστηριότητα 1,0.0,44
Δραστηριότητα 1,0.0,9
Δραστηριότητα 1,100.0,14
Δραστηριότητα 1,0.0,6
Δραστηριότητα 1,0.0,29
Δραστηριότητα 1,0.0,25
Δραστηριότητα 1,100.0,19
Δραστηριότητα 1,0.0,74
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,56
Δραστηριότητα 1,0.0,105
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,100.0,50
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,0.0,54
Δραστηριότητα 1,100.0,87
Δραστηριότητα 1,0.0,71
Δραστηριότητα 1,0.0,33
Δραστηριότητα 1,0.0,23
Δραστηριότητα 1,0.0,74
Δραστηριότητα 1,100.0,14
Δραστηριότητα 1,0.0,43
Δραστηριότητα 1,0.0,19
Δραστηριότητα 1,0.0,116
Δραστηριότητα 1,100.0,45
Δραστηριότητα 1,100.0,87
Δραστηριότητα 1,100.0,120
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,100.0,129
Δραστηριότητα 1,100.0,96
Δραστηριότητα 1,100.0,17
Δραστηριότητα 1,0.0,69
Δραστηριότητα 1,100.0,16
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,100.0,33
Δραστηριότητα 1,0.0,94
Δραστηριότητα 1,100.0,107
Δραστηριότητα 1,100.0,30
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,100.0,187
Δραστηριότητα 1,100.0,180
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,100.0,215
Δραστηριότητα 1,100.0,180
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,81
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,98
Δραστηριότητα 1,100.0,43
Δραστηριότητα 1,100.0,39
Δραστηριότητα 1,100.0,8
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,100.0,37
Δραστηριότητα 1,100.0,40
Δραστηριότητα 1,100.0,145
Δραστηριότητα 1,100.0,7
Δραστηριότητα 1,100.0,60
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,100.0,35
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,0.0,19
Δραστηριότητα 1,0.0,12
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,100.0,49
Δραστηριότητα 1,0.0,14
Δραστηριότητα 1,0.0,13
Δραστηριότητα 1,100.0,43
Δραστηριότητα 1,100.0,78
Δραστηριότητα 1,100.0,28
Δραστηριότητα 1,100.0,31
Δραστηριότητα 1,100.0,44
Δραστηριότητα 1,100.0,34
Δραστηριότητα 1,100.0,65
Δραστηριότητα 1,0.0,45
Δραστηριότητα 1,100.0,71
Δραστηριότητα 1,0.0,37
Δραστηριότητα 1,100.0,62
Δραστηριότητα 1,0.0,49
Δραστηριότητα 1,100.0,36
Δραστηριότητα 1,100.0,22
Δραστηριότητα 1,0.0,7
Δραστηριότητα 1,0.0,26
Δραστηριότητα 1,0.0,8
Δραστηριότητα 1,100.0,79
Δραστηριότητα 1,0.0,103
Δραστηριότητα 1,0.0,9
Δραστηριότητα 1,0.0,57
Δραστηριότητα 1,100.0,42
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,100.0,72
Δραστηριότητα 1,100.0,52
Δραστηριότητα 1,100.0,58
Δραστηριότητα 1,100.0,48
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,100.0,31
Δραστηριότητα 1,100.0,63
Δραστηριότητα 1,100.0,23
Δραστηριότητα 1,0.0,19
Δραστηριότητα 1,100.0,29
Δραστηριότητα 1,100.0,67
Δραστηριότητα 1,0.0,40
Δραστηριότητα 1,100.0,30
Δραστηριότητα 1,100.0,36
Δραστηριότητα 1,0.0,39
Δραστηριότητα 1,100.0,64
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,0.0,24
Δραστηριότητα 1,0.0,69
Δραστηριότητα 1,0.0,59
Δραστηριότητα 1,0.0,28
Δραστηριότητα 1,100.0,79
Δραστηριότητα 1,100.0,40
Δραστηριότητα 1,100.0,8
Δραστηριότητα 1,0.0,82
Δραστηριότητα 1,100.0,101
Δραστηριότητα 1,0.0,33
Δραστηριότητα 1,100.0,35
Δραστηριότητα 1,0.0,37
Δραστηριότητα 1,0.0,35
Δραστηριότητα 1,0.0,43
Δραστηριότητα 1,0.0,72
Δραστηριότητα 1,100.0,65
Δραστηριότητα 1,100.0,11
Δραστηριότητα 1,100.0,61
Δραστηριότητα 1,100.0,43
Δραστηριότητα 1,100.0,80
Δραστηριότητα 1,100.0,87
Δραστηριότητα 1,0.0,65
Δραστηριότητα 1,0.0,161
Δραστηριότητα 1,0.0,106
Δραστηριότητα 1,0.0,10
Δραστηριότητα 1,100.0,46
Δραστηριότητα 1,0.0,29
Δραστηριότητα 1,100.0,64
Δραστηριότητα 1,100.0,41
Δραστηριότητα 1,0.0,33
Δραστηριότητα 1,100.0,57
Δραστηριότητα 1,0.0,34
Δραστηριότητα 1,100.0,60
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,100.0,32
Δραστηριότητα 1,0.0,22
Δραστηριότητα 1,0.0,42
Δραστηριότητα 1,0.0,180
Δραστηριότητα 1,0.0,134
Δραστηριότητα 1,0.0,42
Δραστηριότητα 1,0.0,45
Δραστηριότητα 1,100.0,41
Δραστηριότητα 1,0.0,34
Δραστηριότητα 1,100.0,134
Δραστηριότητα 1,100.0,6
Δραστηριότητα 1,100.0,20
Δραστηριότητα 1,0.0,61
Δραστηριότητα 1,100.0,38
Δραστηριότητα 1,100.0,27
Δραστηριότητα 1,0.0,6
Δραστηριότητα 1,0.0,65
Δραστηριότητα 1,100.0,9
Δραστηριότητα 1,100.0,50
Δραστηριότητα 1,100.0,35
Δραστηριότητα 1,100.0,53
Δραστηριότητα 1,100.0,78
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,0.0,55
Δραστηριότητα 1,100.0,38
Δραστηριότητα 1,0.0,11
Δραστηριότητα 1,0.0,37
Δραστηριότητα 1,100.0,20
Δραστηριότητα 1,100.0,115
Δραστηριότητα 1,100.0,78
Δραστηριότητα 1,100.0,69
Δραστηριότητα 1,0.0,41
Δραστηριότητα 1,100.0,57
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,100.0,50
Δραστηριότητα 1,100.0,63
Δραστηριότητα 1,0.0,11
Δραστηριότητα 1,0.0,27
Δραστηριότητα 1,0.0,42
Δραστηριότητα 1,100.0,21
Δραστηριότητα 1,0.0,43
Δραστηριότητα 1,100.0,21
Δραστηριότητα 1,100.0,23
Δραστηριότητα 1,100.0,216
Δραστηριότητα 1,0.0,64
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,0.0,103
Δραστηριότητα 1,100.0,15
Δραστηριότητα 1,100.0,34
Δραστηριότητα 1,100.0,35
Δραστηριότητα 1,100.0,31
Δραστηριότητα 1,100.0,177
Δραστηριότητα 1,100.0,8
Δραστηριότητα 1,100.0,57
Δραστηριότητα 1,100.0,25
Δραστηριότητα 1,100.0,39
Δραστηριότητα 1,100.0,5
Δραστηριότητα 1,0.0,28
Δραστηριότητα 1,0.0,50
Δραστηριότητα 1,0.0,214
Δραστηριότητα 1,0.0,38
Δραστηριότητα 1,0.0,92
Δραστηριότητα 1,0.0,76
